picture_directory,item_name,description
assets/Bunda_1.png, Our Lady in Prayer,"Lilin premium non-perfumed.\nTersedia warna Translucent, Putih, Cream."
assets/IMG_20260504_110120.png, Big Rose in Colors, Lilin premium bunga mawar besar.<br>"Tersedia warna: pink, violet, green, blue, yellow".
assets/IMG_20260504_114232.png, Big Jasmin in Colors, Lilin premium bunga melati besar.<br>Tersedia warna: pink, violet, green, blue, yellow.
assets/IMG_20260504_114730.png, Flowers in Ceramic Pot 1, Lilin premium isi 4 bunga.<br>Dalam pot keramik. 
assets/IMG_20260504_115109.png, Flowers in Ceramic Pot 2, Lilin premium isi 5 bunga.<br>Dalam pot keramik.
assets/IMG_20260504_115353.png, Flowers in Ceramic Pot 3, Lilin premium isi 5 bunga.<br>Dalam pot keramik.
assets/IMG_20260504_115527.png, Flowers in Ceramic Pot 4, Lilin premium isi 8 bunga.<br>Dalam pot keramik.
assets/IMG_20260504_121232.png, Flowers in Ceramic Pot 5, Lilin premium isi 5 bunga.<br>Dalam pot keramik.
assets/IMG_20260504_121233.png, Flowers in Ceramic Pot 6, Lilin premium isi 5 bunga.<br>Dalam pot keramik.

